Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
E-Ticket,"Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105881829/e-ticket,2.8,-1,Sport,5.12c,1,,43.80386,-71.84091
"Dodge the Lemons","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105892279/dodge-the-lemons,3.1,-1,Sport,5.13c/d,1,,43.80386,-71.84091
"Strict Scrutiny","New Wave > *Rumney > New Hampshire",https://www.mountainproject.com/route/106324841/strict-scrutiny,3.2,-1,Sport,5.13d,1,60,43.80285,-71.83444
"Little Mermaid","Venus Wall > *Rumney > New Hampshire",https://www.mountainproject.com/route/107130729/little-mermaid,3.3,-1,Sport,5.12d,1,40,43.80188,-71.8375
"All Day Slacker","Monsters from the Id > *Rumney > New Hampshire",https://www.mountainproject.com/route/121386270/all-day-slacker,3.3,-1,Sport,"5.14a PG13",1,40,43.80226,-71.83997
Space...Madness,"Starship Enterprise > *Rumney > New Hampshire",https://www.mountainproject.com/route/106693418/spacemadness,2.9,-1,Sport,5.12b,1,45,43.80352,-71.84439
"Rhythm X","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/106082612/rhythm-x,3.0,-1,Sport,5.13c,1,30,43.80386,-71.84091
"Gettin' Started","Upper Right > Infinity Wall > *Rumney > New Hampshire",https://www.mountainproject.com/route/108916749/gettin-started,3.1,-1,Sport,5.6,1,25,43.80439,-71.82882
"The Fly","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105945876/the-fly,3.2,-1,Sport,5.14d,1,25,43.80386,-71.84091
"Rumpus Time","Summit Cliff (The Highlands) > *Rumney > New Hampshire",https://www.mountainproject.com/route/112566431/rumpus-time,3.1,-1,Sport,5.11a,1,55,43.80549,-71.84378
Supernova,"Starship Enterprise > *Rumney > New Hampshire",https://www.mountainproject.com/route/106159747/supernova,3.3,-1,Sport,5.14a/b,1,30,43.80352,-71.84439
"Brain Surgery 101","The Asylum > *Rumney > New Hampshire",https://www.mountainproject.com/route/106680836/brain-surgery-101,2.8,-1,Sport,5.11b,1,50,43.80527,-71.84431
Riviera,"Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/107186214/riviera,3.3,-1,Sport,5.13d,1,,43.80386,-71.84091
Lateralus,"The Very Nice Crag > *Rumney > New Hampshire",https://www.mountainproject.com/route/108361839/lateralus,2.9,-1,Sport,5.12a,1,34,43.80545,-71.84486
"Steel Curtain","The Main Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/105991421/steel-curtain,3.2,-1,Sport,5.12a,1,,43.80249,-71.83593
"Gold Coast","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/108189016/gold-coast,3.2,-1,Sport,5.13c/d,1,,43.80386,-71.84091
"Ale 8","The Hinterlands > *Rumney > New Hampshire",https://www.mountainproject.com/route/106346542/ale-8,3.1,-1,Sport,5.12b,1,90,43.80505,-71.84309
"Shame on a Chippa","Venus Wall > *Rumney > New Hampshire",https://www.mountainproject.com/route/106117095/shame-on-a-chippa,3.2,-1,Sport,5.13+,1,50,43.80188,-71.8375
"Double Dynos","The Very Nice Crag > *Rumney > New Hampshire",https://www.mountainproject.com/route/108370950/double-dynos,3.0,-1,Sport,5.12c,1,60,43.80545,-71.84486
