Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Dancing on Dimes","Grain Central Station > Group Campsite  8 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/107252783/dancing-on-dimes,1.5,-1,Sport,5.7,1,40,34.09935,-116.16321
"Whispering Chickens","Feudal Wall (Right Side) > Feudal Wall > Indian Cove CG East > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/107813851/whispering-chickens,1.9,-1,Sport,5.7,1,60,34.09313,-116.15342
"The First Steps Are the Hardest","Graham's Playpen > Stirrup Tank > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/108183375/the-first-steps-are-the-hardest,1.5,-1,Sport,5.7,1,40,33.95432,-116.01995
"The Birth Canal","Graham's Playpen > Stirrup Tank > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/108183389/the-birth-canal,1.2,-1,Sport,5.7,1,40,33.95432,-116.01995
"Pebble Beach","Portlandia > Northeast Hills > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/108271898/pebble-beach,2.0,-1,Sport,5.7,1,40,34.10114,-116.13393
"Window to the Future","Frigid Tower > Split Rocks East > Split Rocks > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/108443001/window-to-the-future,2.5,-1,Sport,5.7,1,70,34.0116,-116.0543
"Orion's Belt","Becky's Buttress > Becky's Buttress Area > Belle Campground Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/108665417/orions-belt,1.4,-1,Sport,5.7,1,45,34.0087,-116.0098
"Quoth the Raven","Gorby's Mound > Becky's Buttress Area > Belle Campground Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/108665839/quoth-the-raven,1.5,-1,Sport,5.7,1,50,34.00961,-116.01108
"Damn Secret","Manny Rock > Contact Mine Road Area (aka Brittny's Area) > Magic Mountain Area > OZ Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/110220750/damn-secret,1.0,-1,Sport,5.7,1,40,34.06726,-116.0421
Amphora,"Jaime's Rock > Group Campsite  1 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/111083198/amphora,1.5,-1,Sport,5.7,1,40,34.09627,-116.15662
