Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Deeper is Better,Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/111769220/deeper-is-better,2.8,-1,Sport,5.10b,1,60,37.65292,-83.72495
Burlier's Bane,(5) Undertow Wall > The Motherlode > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106538496/burliers-bane,2.8,-1,Sport,5.12a,1,60,37.64574,-83.70988
Armed Insurrection,The Boneyard > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106937663/armed-insurrection,2.8,-1,Sport,5.10d,1,80,37.73135,-83.63968
Overlord,Phantasia > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106149038/overlord,2.8,-1,Sport,5.10b,1,50,37.84495,-83.64369
Spoiler Bait,The Crossroads > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/119299656/spoiler-bait,2.9,-1,Sport,5.8,1,45,37.67609,-83.73312
Monkey Bars,The Playground > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106604790/monkey-bars,2.7,-1,Sport,5.10a,1,50,37.6532,-83.7146
Golden Snow Cone,Bear's Den > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/109469913/golden-snow-cone,2.7,-1,Sport,5.10c,1,55,37.64408,-83.70784
Murano,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106125082/murano,2.8,-1,Sport,5.10b/c,1,75,37.65292,-83.71772
Green Horn,Solar Collector/Gold Coast > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106707062/green-horn,2.8,-1,Sport,5.11a,1,55,37.6775,-83.73409
Kentucky Pinstripe,Global Village > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105880920/kentucky-pinstripe,2.8,-1,Sport,5.10a,1,80,37.75161,-83.65731
Loosen Up,Global Village > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106109316/loosen-up,2.8,-1,Sport,5.10b,1,50,37.75161,-83.65731
The Fury,Bibliothek > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/108952238/the-fury,3.7,-1,Sport,5.11c,1,70,37.73034,-83.64058
Animal Husbandry,The Old Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/111046822/animal-husbandry,2.9,-1,Sport,5.11b,1,80,37.73387,-83.66162
Barrel Full of Monkeys,The New Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/108941985/barrel-full-of-monkeys,2.8,-1,Sport,5.11a,1,80,37.73475,-83.66162
Ohio Climbing,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/108524421/ohio-climbing,2.7,-1,Sport,5.8,1,50,37.72444,-83.62657
Trust in Jesus,(2) Warm-Up Wall > The Motherlode > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106577231/trust-in-jesus,2.8,-1,Sport,5.11b,1,50,37.64638,-83.71079
Throbbing Emotions,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/108064675/throbbing-emotions,2.7,-1,Sport,5.10a,1,55,37.64919,-83.71343
Love Potion  9,The Crossroads > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/108725080/love-potion-9,2.7,-1,Sport,5.9,1,65,37.67609,-83.73312
Little Viper,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106065268/little-viper,2.7,-1,Sport,5.10b,1,50,37.72444,-83.62657
Sacriledge,The Arsenal > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106937622/sacriledge,2.7,-1,Sport,5.11a,1,60,37.73348,-83.63984
Pre-Op,The Infirmary > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/111229056/pre-op,2.8,-1,Sport,5.10d,1,45,37.64186,-83.68375
The King Lives On,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106125110/the-king-lives-on,2.7,2,Sport,5.10b,1,80,37.65292,-83.71772
Rising,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106302099/rising,2.7,-1,Sport,5.11a,1,50,37.72444,-83.62657
Black Powder,"Great Arch, The > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107143575/black-powder,2.7,-1,Sport,5.10a,1,85,37.73468,-83.63843
Stay the Hand,Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105880953/stay-the-hand,3.3,-1,Sport,5.12a,1,50,37.73151,-83.65679
Wonkaholic,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107379163/wonkaholic,2.7,-1,Sport,5.10a,1,50,37.64919,-83.71343
Beta Spewer,Practice Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106792065/beta-spewer,2.7,-1,Sport,5.10b,1,20,37.7275,-83.6278
The Dude Abides,Chica Bonita Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107334440/the-dude-abides,2.7,-1,Sport,5.11c,1,65,37.65078,-83.72161
One Brick Shy,The Old Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105918096/one-brick-shy,2.7,-1,Sport,5.10c,1,80,37.73387,-83.66162
Dragon's Mouth,Practice Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107640368/dragons-mouth,2.7,-1,Sport,5.7,1,40,37.7275,-83.6278
Makin' Bacon,Indy Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106128257/makin-bacon,2.7,-1,Sport,5.10d,1,40,37.73041,-83.63511
A1A,The Crossroads > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106817338/a1a,2.7,-1,Sport,5.10a/b,1,50,37.67609,-83.73312
"Hey There, Fancy Pants",Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106064500/hey-there-fancy-pants,2.7,-1,Sport,5.10c,1,55,37.72444,-83.62657
Face Up To That Crack,Left Flank > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105860667/face-up-to-that-crack,2.7,-1,"Trad, Sport",5.8,1,70,37.81449,-83.66388
Grandpa Joe,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/109480361/grandpa-joe,2.6,-1,Sport,5.9,1,50,37.64919,-83.71343
Kampsight,Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105882851/kampsight,2.7,-1,Sport,5.9+,1,80,37.73151,-83.65679
Audie,The Shire > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106885721/audie,2.7,-1,Sport,5.8,1,35,37.65214,-83.70995
The Offering,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106085047/the-offering,2.7,-1,Sport,5.7,1,45,37.72444,-83.62657
Pool Boy,Deep End > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110849887/pool-boy,3.2,-1,Sport,5.10b,1,80,37.63986,-83.68327
Whiteout Direct (aka Nerds),Emerald City > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870771/whiteout-direct-aka-nerds,2.7,-1,Sport,5.8,1,50,37.75195,-83.66364
Possum Lips,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870248/possum-lips,2.7,-1,Sport,5.10d,1,50,37.8159,-83.66918
Lucy Goosey,The Boneyard > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107203231/lucy-goosey,2.7,-1,Sport,5.10b,1,80,37.73135,-83.63968
Ultegra,Velo Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110334638/ultegra,2.6,-1,Sport,5.10a,1,75,37.64552,-83.71831
Bare Metal Teen,Torrent Falls (Limited Access) > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106290300/bare-metal-teen,3.8,-1,Sport,5.12a,1,80,37.71998,-83.66294
Hippie Lip Balm,Secret Garden > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110529330/hippie-lip-balm,2.7,-1,Sport,5.9,1,75,37.64036,-83.67556
