Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Out of the Bag","3. Rico Suave Buttress > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106461172/out-of-the-bag,3.6,-1,Sport,5.11d,1,80,38.04716,-81.06756
"Wham Bam Thanks for the Jam","5) Burning Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106036569/wham-bam-thanks-for-the-jam,3.5,-1,Trad,5.10b,1,70,38.05238,-81.03324
"Angel's Arete","2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105944188/angels-arete,3.5,-1,"Trad, TR","5.10a R",1,70,38.07178,-81.08006
Remission,"G) Diamond Point > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106037625/remission,3.5,-1,Trad,5.10b,1,90,38.05317,-81.05956
"Cross-Eyed and Blind","1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106550243/cross-eyed-and-blind,3.5,-1,Sport,5.11a,1,80,38.14319,-80.91967
"Raging Waters","G) Diamond Point > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106037600/raging-waters,3.5,-1,Trad,5.11a,1,90,38.05317,-81.05956
Discombobulated,"J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105948290/discombobulated,3.5,-1,Sport,5.11b,1,90,38.05474,-81.05704
"The Entertainer","Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105943593/the-entertainer,3.4,-1,"Trad, TR",5.10a,1,65,38.08299,-81.08043
"The Tree Route","2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105948012/the-tree-route,3.5,-1,"Trad, TR",5.10a,1,85,38.07178,-81.08006
G-String,"01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106711554/g-string,3.4,-1,Sport,5.11a,1,80,38.10049,-81.09596
"Wild Seed","5) Wild Seed Area > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106209593/wild-seed,3.4,-1,Sport,5.11a,1,70,38.06305,-81.06778
"Latch Key Kids","Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107540073/latch-key-kids,3.4,-1,Sport,5.10a/b,1,70,38.2338,-80.8552
Floaters,"1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106550348/floaters,3.4,-1,Sport,5.10d,1,80,38.14319,-80.91967
"Strike A Scowl","G) Diamond Point > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105963042/strike-a-scowl,3.3,-1,Sport,5.10b,1,75,38.05317,-81.05956
"Smooth Operator","B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106033163/smooth-operator,3.6,-1,Trad,5.9,1,90,38.05569,-81.06276
"Maximum Overdrive","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105994645/maximum-overdrive,3.3,-1,Sport,5.11c,1,70,38.24137,-80.84379
Cottonmouth,"Cotton Top > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106886454/cottonmouth,3.3,-1,Sport,5.10a,1,60,38.1151,-81.14094
"Tony the Tiger","7. Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106944814/tony-the-tiger,3.3,-1,Sport,5.11c,1,80,38.05238,-81.07272
Essence,"Cotton Club > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/117081063/essence,3.2,-1,Sport,5.10c,1,35,38.1138,-81.13935
Mutiny,"Pirate's Cove > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105918475/mutiny,3.8,-1,Sport,5.11c/d,1,75,38.2427,-80.8485
"Fool Effect","E) Kaymoor Slabs > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106046063/fool-effect,3.3,-1,Sport,5.9,1,120,38.05426,-81.06106
"Pistol Whip","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/109050963/pistol-whip,3.3,-1,Sport,5.11c,1,70,38.14295,-80.91755
"Handsome and Well-Hung","2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105943685/handsome-and-well-hung,3.4,-1,Trad,5.11a,1,80,38.07178,-81.08006
"She got the Bosch, I got Drilled","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106002567/she-got-the-bosch-i-got-drilled,3.2,-1,Sport,5.10a,1,90,38.2422,-80.83949
Chockstone,"2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105943705/chockstone,3.2,-1,"Trad, TR",5.9+,1,80,38.07178,-81.08006
"Just Another Pretty Face","3 Greatest Show Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107138716/just-another-pretty-face,3.4,-1,Sport,5.11b,1,70,38.15303,-80.93231
"Geisha Girl","01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106138127/geisha-girl,3.1,-1,Sport,5.8,1,95,38.10049,-81.09596
"Badass Tattoo","01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106418047/badass-tattoo,3.2,-1,Sport,5.10b,1,90,38.10049,-81.09596
"Wendy's Arete","Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107554557/wendys-arete,3.1,-1,"Sport, TR",5.7,1,40,38.2338,-80.8552
