Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Stealth N' Magic","B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/108826575/stealth-n-magic,3.2,-1,Sport,5.12d,1,70,38.05569,-81.06276
"Ruchert Motion","5) Burning Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/108103364/ruchert-motion,3.5,-1,Sport,5.13a,1,70,38.05238,-81.03324
"Diamond Life","10. Central Bubba > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/110215885/diamond-life,3.5,-1,"Sport, TR",5.13a,1,60,38.0909,-81.0892
Oblivion,"I) Honeymooner's Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/115441954/oblivion,3.5,-1,Sport,5.12d,1,80,38.05426,-81.05828
"Shaken Not Stirred","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107539064/shaken-not-stirred,3.2,-1,Sport,5.12d,1,80,38.14336,-80.91556
Armada,"Pirate's Cove > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/119782014/armada,3.5,-1,Sport,5.12d,1,60,38.2427,-80.8485
"Stabat Mater","7) Thunder Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/117904048/stabat-mater,3.5,-1,Sport,5.13b,1,100,38.05053,-81.03102
"Skinny Legs","DC Memorial Boulder > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107852687/skinny-legs,3.5,-1,Sport,5.13b,1,30,38.24156,-80.84428
"The Mechanical Bull","P) Jacob's Ladder Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107340109/the-mechanical-bull,3.5,-1,Sport,5.13a,1,80,38.05651,-81.04878
Albatross,"4. Fire and Ice Buttress > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/123378599/albatross,3.5,-1,Sport,5.13b/c,1,35,38.04821,-81.06853
"The Weatherman's Thumb","G) Diamond Point > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107384924/the-weathermans-thumb,2.9,-1,Sport,5.12d,1,90,38.05317,-81.05956
"Deep Throat","Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/113113448/deep-throat,3.3,-1,Sport,5.13c,1,60,38.24193,-80.84067
"Dragon's Tooth","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/110998396/dragons-tooth,3.1,-1,Sport,5.12c/d,1,90,38.14336,-80.91556
"The Travisty","3) The Brain > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/108053802/the-travisty,3.3,-1,Sport,5.13c,1,70,38.05452,-81.03346
"Bloody Mushroom Stamp","1. The Hole > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/110215859/bloody-mushroom-stamp,3.3,-1,Sport,5.13b,1,60,38.0449,-81.06561
"Nude Brute","3. Rico Suave Buttress > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106886964/nude-brute,3.0,-1,Sport,5.13b,1,60,38.04716,-81.06756
Boomerang,"1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107069302/boomerang,3.0,-1,Sport,5.13a,1,100,38.14319,-80.91967
"Cock Diesel","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107533222/cock-diesel,2.9,-1,Sport,5.13b,1,70,38.15323,-80.93233
Toymaker,"1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107496898/toymaker,3.0,-1,Sport,5.13a,1,90,38.14319,-80.91967
"The Rheesist","Cotton Top > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/108852120/the-rheesist,3.0,-1,Sport,5.13c,1,60,38.1151,-81.14094
"Johnny Utah","Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/121502986/johnny-utah,3.0,-1,Sport,5.13+,1,100,38.24193,-80.84067
"Tainted Love","Cotton Top > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/109195938/tainted-love,3.0,-1,Sport,5.12d,1,45,38.1151,-81.14094
"Leap of Faith","1) Super Mario Boulder > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106216459/leap-of-faith,3.0,-1,Sport,5.13c,1,50,38.05531,-81.0362
