Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Energy Crisis","Ay. Cream > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106636894/energy-crisis,3.6,-1,Trad,5.11d,1,85,37.71478,-119.70107
"West Face","Mount Starr King > Mount Starr King Area > Southern Yosemite > Yosemite National Park > California",https://www.mountainproject.com/route/108178106/west-face,3.1,-1,"Trad, Alpine",5.9,7,,37.7027,-119.51766
"The Hundredth Monkey","Killer Pillar > Bc. Elephant Rock Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107848538/the-hundredth-monkey,3.2,-1,Sport,5.11b,1,75,37.71483,-119.71477
"Death Crack","Stately Pleasure Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106259916/death-crack,3.4,-1,"Trad, Alpine",5.11+,1,70,37.83546,-119.4577
"King and I","Mecca > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109623271/king-and-i,3.2,-1,Sport,5.11d,1,90,37.71932,-119.64339
Windchill,"R. The Widow's Tears Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108894393/windchill,3.4,-1,Trad,5.11a,13,,37.70879,-119.66567
"Waste Not, Whip Not","Upper Tier > K.  Public Sanitation Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108129165/waste-not-whip-not,3.1,-1,Sport,5.11,1,80,37.73908,-119.58843
Windfall,"R. The Widow's Tears Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106578709/windfall,3.4,-1,Trad,5.11a,5,500,37.70879,-119.66567
"Lonely Dancer","6. GPA - Right Side > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106662702/lonely-dancer,2.9,-1,Trad,5.10c,1,80,37.7337,-119.56956
"Green Dream","6. GPA - Right Side > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112200566/green-dream,3.4,-1,Trad,5.10c,1,,37.7337,-119.56956
"Infectious Groove","Ac. U.S.G.S. Wall > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106459467/infectious-groove,3.5,-1,Trad,5.10d,1,80,37.67951,-119.73547
"Roadside Attraction","Ag. Roadside Attraction > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106691566/roadside-attraction,3.1,-1,"Trad, TR",5.12a,1,60,37.70169,-119.72236
Headstrong,"Am. Pat and Jack Pinnacle > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112941870/headstrong,3.2,-1,Sport,5.11b,1,110,37.72373,-119.71362
"The Deer Route","Reed's Pinnacle > At. Reed's Pinnacle Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108117270/the-deer-route,3.7,-1,Trad,5.7,2,200,37.72439,-119.70063
"Overhang Bypass","Lower Cathedral West > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106669076/overhang-bypass,2.9,-1,Trad,5.7+,5,400,37.71841,-119.64657
